
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 67
行政区域: 河口, 区域等级: 3, 央联港查询结果行数: 2, 区域ID: 3179, dsc_goods_transport_tpl 表ID: 159
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 172
行政区域: 市中区, 区域等级: 3, 央联港查询结果行数: 4, 区域ID: 2459, dsc_goods_transport_tpl 表ID: 374
行政区域: 市中区, 区域等级: 3, 央联港查询结果行数: 4, 区域ID: 2332, dsc_goods_transport_tpl 表ID: 385
行政区域: 市中区, 区域等级: 3, 央联港查询结果行数: 4, 区域ID: 2332, dsc_goods_transport_tpl 表ID: 386
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 408
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 409
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 484
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 495
行政区域: 即墨区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2350, dsc_goods_transport_tpl 表ID: 496
行政区域: 胶南市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2352, dsc_goods_transport_tpl 表ID: 496
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 540
